age,job,education,default,housing,loan,duration,campaign
44,blue-collar,basic.4y,unknown,yes,no,210,1
53,technician,unknown,no,no,no,138,1
28,management,university.degree,no,yes,no,339,3
39,services,high.school,no,no,no,185,2
55,retired,basic.4y,no,yes,no,137,1
30,management,basic.4y,no,yes,no,68,8
37,blue-collar,basic.4y,no,yes,no,204,1
39,blue-collar,basic.9y,no,yes,no,191,1
36,admin.,university.degree,no,no,no,174,1
27,blue-collar,basic.4y,no,yes,no,191,2
34,housemaid,university.degree,no,no,no,62,2
41,management,university.degree,no,yes,no,789,1
55,management,university.degree,no,no,no,372,3
33,services,high.school,no,yes,no,75,5
26,admin.,high.school,no,no,yes,1021,1
52,services,high.school,unknown,yes,no,117,2
35,services,high.school,no,no,no,1034,2
27,admin.,university.degree,no,no,no,540,1
28,blue-collar,basic.9y,unknown,no,no,140,1
26,unemployed,basic.9y,no,yes,yes,104,4
41,unemployed,basic.9y,unknown,yes,no,246,1
35,blue-collar,unknown,no,no,yes,1114,1
40,admin.,university.degree,unknown,yes,no,340,1
32,technician,professional.course,no,no,no,35,1
41,blue-collar,high.school,no,yes,yes,241,3
34,entrepreneur,university.degree,no,yes,no,168,2
49,technician,unknown,no,yes,yes,81,1
37,admin.,high.school,no,yes,no,226,1
35,blue-collar,basic.6y,unknown,yes,no,746,2
38,blue-collar,basic.4y,unknown,no,no,41,5
47,services,high.school,no,no,no,115,1
46,admin.,university.degree,no,no,no,227,2
27,technician,professional.course,no,yes,no,275,1
29,technician,high.school,no,yes,no,365,3
32,services,basic.9y,unknown,no,no,68,2
36,blue-collar,basic.6y,unknown,no,no,54,1
29,blue-collar,basic.4y,no,yes,yes,93,1
47,technician,high.school,unknown,no,no,267,2
44,blue-collar,basic.4y,no,yes,no,17,25
54,management,university.degree,no,yes,yes,121,11
36,blue-collar,basic.9y,no,no,no,294,2
42,blue-collar,basic.4y,no,yes,no,24,1
44,blue-collar,basic.4y,no,no,no,345,5
72,retired,basic.6y,no,yes,no,244,2
48,blue-collar,basic.9y,unknown,no,no,213,3
36,management,high.school,unknown,yes,no,371,1
35,housemaid,basic.4y,no,yes,no,87,1
43,entrepreneur,basic.6y,no,yes,no,195,3
56,retired,basic.4y,unknown,yes,no,102,1
42,blue-collar,basic.9y,unknown,yes,no,93,2
31,admin.,university.degree,no,yes,no,244,1
32,technician,basic.9y,unknown,no,no,52,5
33,blue-collar,high.school,unknown,yes,yes,164,2
31,blue-collar,basic.6y,unknown,no,no,91,4
39,management,university.degree,no,yes,no,68,1
30,blue-collar,high.school,no,no,no,122,4
24,management,university.degree,no,yes,no,45,4
24,admin.,high.school,no,no,yes,61,1
38,blue-collar,professional.course,no,yes,no,162,4
26,blue-collar,high.school,no,yes,no,126,12
41,technician,professional.course,no,no,no,92,1
34,admin.,high.school,no,yes,yes,329,1
30,management,university.degree,no,no,no,116,1
37,admin.,university.degree,no,yes,no,450,1
68,retired,basic.4y,no,yes,no,665,1
31,admin.,high.school,no,no,no,168,2
48,technician,university.degree,no,yes,no,132,1
33,technician,professional.course,no,yes,no,349,4
59,self-employed,university.degree,no,yes,no,249,3
44,blue-collar,unknown,unknown,yes,no,336,3
28,unknown,unknown,unknown,yes,no,169,1
50,management,university.degree,no,no,no,89,3
33,entrepreneur,university.degree,no,no,no,55,1
45,services,professional.course,no,yes,no,221,1
40,management,university.degree,no,no,no,77,2
45,services,professional.course,no,no,no,64,18
43,technician,university.degree,unknown,no,no,62,2
54,blue-collar,professional.course,unknown,yes,yes,198,3
53,technician,professional.course,no,no,no,249,1
35,self-employed,university.degree,no,yes,no,106,1
30,technician,professional.course,no,yes,no,445,1
25,technician,professional.course,no,yes,no,149,2
35,services,professional.course,no,no,yes,66,1
54,admin.,university.degree,no,yes,no,415,1
30,blue-collar,basic.6y,no,no,no,173,2
38,admin.,university.degree,unknown,yes,no,173,1
35,admin.,university.degree,no,yes,no,86,1
47,blue-collar,professional.course,unknown,yes,no,131,1
32,blue-collar,high.school,no,yes,no,523,3
27,blue-collar,basic.9y,no,yes,no,383,1
40,blue-collar,basic.9y,no,unknown,unknown,160,1
31,admin.,high.school,no,no,no,220,3
42,blue-collar,basic.9y,no,no,no,20,2
40,blue-collar,basic.6y,no,yes,no,160,4
31,admin.,high.school,no,yes,no,79,1
57,technician,basic.4y,unknown,no,no,243,2
38,admin.,high.school,no,yes,no,882,1
39,services,high.school,unknown,no,no,5,2
37,admin.,high.school,unknown,yes,yes,354,5
50,unemployed,professional.course,unknown,yes,yes,225,1
33,blue-collar,basic.4y,no,yes,yes,460,1
41,blue-collar,basic.6y,no,unknown,unknown,202,1
37,entrepreneur,basic.6y,unknown,unknown,unknown,71,1
25,student,high.school,no,no,no,54,1
35,admin.,high.school,unknown,no,no,451,1
46,management,university.degree,no,no,no,662,2
29,admin.,university.degree,no,no,no,187,3
35,admin.,university.degree,no,yes,no,82,4
48,entrepreneur,professional.course,no,yes,no,606,3
31,self-employed,university.degree,no,no,no,76,1
33,blue-collar,basic.9y,no,no,yes,18,6
63,retired,university.degree,no,no,yes,317,1
38,admin.,high.school,no,yes,no,67,2
34,admin.,high.school,no,no,no,492,2
34,services,high.school,no,no,no,212,4
47,management,university.degree,no,yes,no,267,2
27,blue-collar,basic.9y,no,yes,no,185,1
24,admin.,university.degree,no,no,no,744,1
36,blue-collar,basic.9y,no,yes,no,499,3
29,services,high.school,unknown,no,no,123,2
58,retired,basic.9y,no,yes,no,198,1
40,technician,professional.course,no,no,no,156,1
31,admin.,university.degree,no,yes,no,98,8
60,retired,basic.4y,unknown,no,no,332,3
58,housemaid,basic.4y,unknown,yes,no,35,1
32,blue-collar,basic.9y,no,yes,no,124,2
54,admin.,university.degree,no,no,no,213,4
43,technician,professional.course,unknown,yes,no,145,2
48,retired,basic.4y,unknown,no,no,145,8
33,admin.,university.degree,no,yes,no,195,1
37,blue-collar,basic.9y,unknown,no,no,179,2
35,services,professional.course,unknown,no,no,184,2
34,services,high.school,no,no,no,285,1
30,technician,university.degree,no,yes,no,31,17
38,admin.,basic.9y,unknown,yes,no,306,1
29,technician,professional.course,unknown,yes,no,14,5
49,entrepreneur,university.degree,no,yes,no,334,1
48,management,university.degree,no,no,no,117,1
33,management,high.school,no,yes,no,155,2
33,admin.,university.degree,no,yes,yes,117,1
42,management,university.degree,no,no,no,206,1
39,admin.,university.degree,no,no,no,102,1
55,entrepreneur,university.degree,unknown,yes,yes,157,2
46,management,university.degree,unknown,yes,no,311,3
55,blue-collar,basic.4y,unknown,no,yes,115,3
42,entrepreneur,university.degree,no,yes,no,58,1
24,student,high.school,unknown,yes,no,290,1
49,blue-collar,basic.9y,unknown,yes,no,114,1
38,admin.,unknown,no,no,yes,311,3
34,admin.,university.degree,unknown,no,no,146,1
46,blue-collar,basic.4y,unknown,no,no,111,1
45,technician,professional.course,unknown,yes,no,360,5
40,admin.,basic.9y,no,yes,no,106,4
46,admin.,basic.9y,unknown,no,no,423,1
31,blue-collar,basic.9y,no,no,no,350,7
57,self-employed,basic.9y,unknown,yes,yes,122,1
36,admin.,university.degree,no,no,no,91,3
50,technician,professional.course,no,unknown,unknown,319,2
32,admin.,high.school,no,yes,yes,120,1
38,admin.,university.degree,no,yes,no,82,2
50,admin.,university.degree,no,unknown,unknown,801,1
42,blue-collar,basic.4y,no,yes,no,168,2
31,technician,professional.course,no,yes,no,409,2
27,unemployed,university.degree,no,yes,no,120,1
44,self-employed,high.school,no,yes,no,123,1
26,housemaid,high.school,unknown,yes,yes,127,1
30,blue-collar,high.school,unknown,yes,no,340,1
39,self-employed,high.school,no,yes,no,169,1
64,retired,unknown,no,no,no,252,4
36,management,university.degree,no,unknown,unknown,331,1
42,blue-collar,basic.4y,unknown,yes,no,191,4
42,services,high.school,no,no,no,122,2
40,admin.,high.school,no,no,no,1776,3
34,services,high.school,no,no,yes,362,2
31,blue-collar,basic.6y,no,yes,yes,237,2
49,admin.,university.degree,no,no,no,201,3
35,unemployed,basic.9y,no,no,no,169,7
60,admin.,unknown,unknown,no,yes,213,2
38,admin.,basic.9y,no,no,no,271,1
32,management,professional.course,no,no,no,125,1
50,self-employed,basic.9y,no,yes,yes,673,6
41,admin.,university.degree,no,yes,no,961,6
45,admin.,high.school,no,no,no,215,2
46,blue-collar,basic.6y,no,no,yes,179,2
55,unknown,basic.4y,unknown,yes,no,336,1
33,technician,professional.course,no,yes,no,44,1
45,blue-collar,unknown,unknown,no,no,223,1
29,blue-collar,high.school,no,yes,no,66,1
42,technician,high.school,unknown,no,no,252,2
39,housemaid,university.degree,no,yes,no,167,2
58,blue-collar,unknown,unknown,yes,no,180,4
32,management,university.degree,no,yes,no,123,4
44,technician,professional.course,unknown,yes,no,18,3
49,self-employed,professional.course,no,no,no,374,2
29,blue-collar,basic.6y,no,yes,no,108,4
51,management,university.degree,no,no,no,16,17
36,admin.,university.degree,no,yes,no,45,8
23,management,university.degree,no,yes,no,122,1
31,management,university.degree,no,yes,no,72,1
32,technician,unknown,no,yes,no,107,2
58,self-employed,professional.course,no,no,no,197,1
31,services,high.school,no,yes,no,21,20
32,blue-collar,professional.course,no,yes,no,160,2
43,unemployed,high.school,no,no,no,319,4
48,admin.,professional.course,no,yes,no,427,3
28,admin.,high.school,no,yes,no,270,2
52,services,professional.course,no,yes,no,7,2
36,management,university.degree,no,no,no,22,1
39,admin.,high.school,no,yes,yes,433,2
39,blue-collar,unknown,unknown,yes,no,49,5
50,management,university.degree,no,yes,no,258,1
29,admin.,university.degree,no,yes,no,190,1
49,technician,professional.course,no,yes,no,130,3
36,blue-collar,basic.6y,no,no,no,130,1
29,blue-collar,basic.9y,unknown,yes,no,182,6
27,entrepreneur,university.degree,no,no,no,259,3
31,blue-collar,basic.9y,no,yes,no,124,1
43,management,high.school,no,no,no,40,1
32,blue-collar,unknown,no,no,no,366,4
45,blue-collar,high.school,unknown,yes,no,399,2
56,blue-collar,basic.4y,no,no,no,133,2
38,admin.,high.school,no,unknown,unknown,23,16
35,blue-collar,basic.9y,unknown,no,no,170,1
30,admin.,university.degree,no,yes,no,83,1
46,management,university.degree,unknown,no,no,79,1
43,blue-collar,basic.9y,no,yes,no,93,4
38,technician,university.degree,unknown,no,no,257,2
52,retired,university.degree,no,yes,no,188,2
30,technician,university.degree,no,no,no,131,2
31,unemployed,high.school,yes,no,no,111,2
31,blue-collar,basic.4y,unknown,yes,no,73,1
24,technician,professional.course,no,no,no,175,1
34,admin.,university.degree,no,yes,no,439,2
48,admin.,unknown,no,no,no,262,1
30,admin.,university.degree,no,yes,no,136,1
23,blue-collar,high.school,unknown,yes,no,150,4
20,entrepreneur,high.school,no,no,no,598,3
43,admin.,high.school,no,no,no,96,3
26,services,high.school,no,no,no,298,2
58,unemployed,basic.4y,unknown,no,no,170,6
26,admin.,university.degree,no,yes,no,104,5
35,admin.,high.school,unknown,yes,no,213,14
35,admin.,high.school,unknown,no,no,356,3
59,admin.,professional.course,no,no,no,206,1
54,blue-collar,basic.4y,unknown,no,no,102,1
37,blue-collar,basic.9y,no,yes,no,346,2
46,technician,professional.course,no,no,no,53,2
52,services,high.school,unknown,no,no,81,6
52,management,university.degree,no,yes,no,67,1
32,student,university.degree,no,no,no,209,1
33,services,basic.4y,no,no,no,202,4
33,technician,high.school,no,yes,no,247,1
42,technician,unknown,no,no,no,230,2
38,blue-collar,unknown,no,yes,no,451,2
43,blue-collar,high.school,unknown,yes,no,190,1
49,admin.,university.degree,no,no,no,24,1
30,blue-collar,basic.9y,no,unknown,unknown,107,3
37,technician,professional.course,no,no,no,54,2
47,blue-collar,professional.course,no,no,no,86,2
32,blue-collar,basic.4y,no,yes,no,111,8
32,unemployed,university.degree,no,yes,no,47,2
35,services,university.degree,no,yes,no,215,1
36,management,university.degree,no,unknown,unknown,423,1
41,blue-collar,basic.9y,no,yes,no,233,2
48,blue-collar,basic.9y,no,yes,no,67,2
43,technician,high.school,no,no,no,1389,7
57,technician,university.degree,no,no,no,50,2
28,entrepreneur,university.degree,unknown,no,no,774,2
30,services,high.school,unknown,no,no,454,18
27,student,high.school,no,no,no,64,2
44,blue-collar,basic.6y,unknown,yes,no,212,1
43,services,basic.9y,no,no,no,110,17
28,technician,basic.9y,no,yes,no,23,1
34,blue-collar,basic.9y,no,no,no,169,1
32,services,high.school,no,yes,no,251,2
30,admin.,university.degree,no,yes,no,353,10
45,admin.,university.degree,no,no,no,508,1
49,blue-collar,basic.4y,unknown,yes,no,410,1
45,blue-collar,high.school,no,yes,no,89,5
56,technician,basic.9y,no,yes,no,52,2
48,admin.,university.degree,no,yes,no,118,1
42,unemployed,high.school,no,yes,no,154,2
51,management,university.degree,no,yes,yes,409,2
54,blue-collar,basic.9y,no,no,no,258,2
40,admin.,university.degree,no,yes,no,335,2
47,blue-collar,basic.9y,no,yes,no,54,1
29,technician,university.degree,no,no,no,896,6
37,admin.,university.degree,no,yes,yes,412,2
35,technician,basic.9y,no,no,no,24,1
54,technician,professional.course,no,yes,no,149,2
45,unknown,university.degree,no,yes,no,254,1
35,admin.,university.degree,no,yes,no,564,2
37,blue-collar,professional.course,no,yes,no,185,1
38,management,basic.9y,no,yes,no,1000,1
33,blue-collar,basic.9y,unknown,yes,no,88,2
31,blue-collar,basic.9y,no,yes,no,166,2
34,admin.,university.degree,unknown,no,no,134,1
51,blue-collar,high.school,no,no,no,131,2
38,blue-collar,high.school,unknown,yes,no,118,1
25,admin.,basic.9y,no,no,no,81,3
35,technician,professional.course,no,yes,no,75,6
55,self-employed,university.degree,no,yes,no,123,2
37,admin.,high.school,unknown,yes,no,313,1
31,technician,high.school,no,no,no,124,3
36,services,high.school,no,unknown,unknown,262,4
59,retired,basic.4y,unknown,yes,yes,571,1
37,blue-collar,basic.6y,no,no,no,131,1
74,retired,high.school,no,yes,yes,88,6
44,technician,basic.9y,unknown,yes,yes,388,2
29,technician,professional.course,no,no,no,157,3
32,services,basic.4y,no,yes,yes,111,1
45,services,basic.9y,no,yes,no,325,1
49,blue-collar,unknown,unknown,no,no,112,4
25,services,unknown,no,no,no,662,4
34,blue-collar,basic.4y,unknown,yes,no,246,2
37,technician,professional.course,no,yes,no,115,1
48,technician,university.degree,unknown,yes,no,159,2
52,services,high.school,no,yes,no,575,2
30,technician,professional.course,no,no,no,216,3
57,retired,basic.9y,no,yes,no,342,4
38,blue-collar,basic.4y,no,yes,no,117,2
31,blue-collar,high.school,no,no,no,145,1
40,technician,basic.9y,unknown,yes,no,168,2
38,services,high.school,no,yes,yes,506,1
33,management,university.degree,no,no,no,261,1
28,admin.,university.degree,no,yes,no,387,2
33,technician,professional.course,no,yes,no,417,2
58,retired,basic.4y,no,no,no,81,1
30,self-employed,professional.course,no,yes,no,98,5
42,self-employed,professional.course,unknown,no,no,160,1
35,technician,basic.4y,no,no,no,363,1
41,housemaid,high.school,no,yes,no,440,4
31,self-employed,university.degree,no,no,no,906,1
40,admin.,high.school,no,no,no,167,1
80,retired,basic.4y,no,no,no,242,1
47,blue-collar,high.school,no,no,no,439,2
39,housemaid,basic.6y,no,yes,no,76,4
30,technician,university.degree,no,no,no,65,2
33,blue-collar,high.school,no,yes,no,233,1
50,management,university.degree,unknown,no,no,136,1
33,blue-collar,basic.9y,no,yes,no,656,1
40,technician,professional.course,no,yes,yes,323,1
40,retired,basic.4y,unknown,yes,no,1689,2
30,blue-collar,basic.9y,no,yes,no,185,1
23,management,university.degree,no,yes,no,134,1
28,blue-collar,basic.9y,unknown,no,no,182,2
41,self-employed,basic.9y,no,yes,no,1135,3
26,student,basic.9y,no,no,no,449,1
45,admin.,university.degree,no,no,no,216,1
28,admin.,university.degree,no,yes,no,324,1
32,technician,university.degree,no,no,no,198,1
32,management,university.degree,no,no,no,157,1
56,entrepreneur,university.degree,no,no,yes,311,1
45,admin.,basic.9y,no,yes,no,575,9
29,technician,professional.course,no,yes,no,11,19
33,technician,university.degree,no,yes,no,182,1
37,blue-collar,basic.4y,no,yes,no,94,7
51,technician,professional.course,no,no,no,272,1
32,blue-collar,basic.6y,no,unknown,unknown,31,5
36,blue-collar,basic.4y,no,no,no,245,1
36,blue-collar,unknown,no,no,no,179,1
32,technician,professional.course,no,no,no,805,2
51,technician,professional.course,no,no,yes,147,1
25,blue-collar,basic.9y,unknown,no,no,71,1
39,entrepreneur,university.degree,no,yes,no,120,3
33,blue-collar,basic.9y,no,yes,no,263,1
32,technician,professional.course,no,yes,no,81,2
35,blue-collar,basic.9y,no,yes,no,180,1
41,technician,professional.course,no,unknown,unknown,73,1
44,admin.,university.degree,unknown,no,no,202,1
34,management,university.degree,no,no,no,163,1
27,services,high.school,no,yes,no,386,1
51,blue-collar,basic.4y,unknown,yes,no,139,1
42,admin.,university.degree,unknown,no,no,42,4
61,blue-collar,high.school,no,no,no,108,1
48,unemployed,professional.course,no,yes,no,315,2
54,entrepreneur,university.degree,no,yes,no,159,2
35,admin.,high.school,no,yes,yes,19,1
